date,tacos,sandwiches,kebabs,isPartial
2017-12-10,25,6,1,False
2017-12-17,25,7,1,False
2017-12-24,26,6,2,False
2017-12-31,29,6,2,False
2018-01-07,28,6,1,False
2018-01-14,28,6,1,False
2018-01-21,29,6,1,False
2018-01-28,29,6,1,False
2018-02-04,28,6,1,False
2018-02-11,28,6,1,False
2018-02-18,29,6,1,False
2018-02-25,30,6,1,False
2018-03-04,29,6,1,False
2018-03-11,29,6,1,False
2018-03-18,29,6,1,False
2018-03-25,29,7,2,False
2018-04-01,30,6,1,False
2018-04-08,30,6,1,False
2018-04-15,31,6,2,False
2018-04-22,31,6,2,False
2018-04-29,35,6,2,False
2018-05-06,31,6,2,False
2018-05-13,30,7,2,False
2018-05-20,29,6,2,False
2018-05-27,30,6,2,False
2018-06-03,30,6,2,False
2018-06-10,33,7,2,False
2018-06-17,29,6,2,False
2018-06-24,30,6,2,False
2018-07-01,31,6,2,False
2018-07-08,31,7,2,False
2018-07-15,32,7,2,False
2018-07-22,32,7,2,False
2018-07-29,32,6,2,False
2018-08-05,30,6,2,False
2018-08-12,31,6,2,False
2018-08-19,30,6,2,False
2018-08-26,30,6,2,False
2018-09-02,29,6,1,False
2018-09-09,28,6,1,False
2018-09-16,29,6,1,False
2018-09-23,28,6,1,False
2018-09-30,31,6,1,False
2018-10-07,28,6,1,False
2018-10-14,29,6,1,False
2018-10-21,29,6,1,False
2018-10-28,31,6,1,False
2018-11-04,29,6,1,False
2018-11-11,27,6,1,False
2018-11-18,26,5,1,False
2018-11-25,27,6,1,False
2018-12-02,27,6,1,False
2018-12-09,27,6,1,False
2018-12-16,27,7,1,False
2018-12-23,28,6,2,False
2018-12-30,32,7,2,False
2019-01-06,30,6,1,False
2019-01-13,30,6,1,False
2019-01-20,30,6,1,False
2019-01-27,31,6,1,False
2019-02-03,30,6,1,False
2019-02-10,31,6,1,False
2019-02-17,32,6,1,False
2019-02-24,31,6,1,False
2019-03-03,33,6,1,False
2019-03-10,31,6,1,False
2019-03-17,32,7,2,False
2019-03-24,32,7,1,False
2019-03-31,34,7,1,False
2019-04-07,32,7,1,False
2019-04-14,34,7,2,False
2019-04-21,33,6,2,False
2019-04-28,36,6,2,False
2019-05-05,36,6,2,False
2019-05-12,33,6,2,False
2019-05-19,32,6,2,True
